Pair,Timestamp,Open,High,Low,Close,Volume
,1577808000,6398.75,6430.58,6391,6412.89,50.59641856
,1577811600,6412.7,6412.89,6356.01,6361.01,50.01337705
,1577815200,6367.25,6379.17,6339.03,6374.71,26.44343849
,1577818800,6376.76,6392.23,6362.45,6391.65,23.08705832
,1577822400,6389.59,6397.58,6377,6387.83,21.49216466
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577811600,6412.7,6412.89,6356.01,6361.01,50.01337705
,1577815200,6367.25,6379.17,6339.03,6374.71,26.44343849
,1577818800,6376.76,6392.23,6362.45,6391.65,23.08705832
,1577822400,6389.59,6397.58,6377,6387.83,21.49216466
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577815200,6367.25,6379.17,6339.03,6374.71,26.44343849
,1577818800,6376.76,6392.23,6362.45,6391.65,23.08705832
,1577822400,6389.59,6397.58,6377,6387.83,21.49216466
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
,1577818800,6376.76,6392.23,6362.45,6391.65,23.08705832
,1577822400,6389.59,6397.58,6377,6387.83,21.49216466
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
,1577851200,6457.16,6458.38,6440.94,6448.78,5.49441078
,1577822400,6389.59,6397.58,6377,6387.83,21.49216466
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
,1577851200,6457.16,6458.38,6440.94,6448.78,5.49441078
,1577854800,6440.85,6455.13,6440.85,6443.25,4.58852507
,1577826000,6387.83,6407.71,6377,6407.69,67.76158981
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
,1577851200,6457.16,6458.38,6440.94,6448.78,5.49441078
,1577854800,6440.85,6455.13,6440.85,6443.25,4.58852507
,1577858400,6452.92,6458.8,6439.84,6440.12,95.83893779
,1577829600,6402.27,6426.25,6386.5,6409.74,43.45398754
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
,1577851200,6457.16,6458.38,6440.94,6448.78,5.49441078
,1577854800,6440.85,6455.13,6440.85,6443.25,4.58852507
,1577858400,6452.92,6458.8,6439.84,6440.12,95.83893779
,1577862000,6448.74,6454.72,6422.09,6427.65,81.86746844
,1577833200,6419.35,6419.37,6402.81,6411.82,14.48022019
,1577836800,6402.02,6410.95,6393.57,6408.04,8.82799036
,1577840400,6408.04,6449.22,6408.04,6435.77,33.34019321
,1577844000,6442.99,6469.99,6438.66,6460.13,6.54562318
,1577847600,6469.37,6469.37,6446.99,6457.9,8.39312712
